X,Y,Z
0.383750,-0.013437,0.637123
0.383174,-0.013698,0.637426
0.382604,-0.013939,0.637734
0.382043,-0.014159,0.638047
0.381488,-0.014360,0.638364
0.380942,-0.014542,0.638686
0.380405,-0.014704,0.639012
0.379875,-0.014848,0.639342
0.379353,-0.014973,0.639675
0.378840,-0.015080,0.640011
0.378334,-0.015168,0.640351
0.377836,-0.015239,0.640693
0.377346,-0.015292,0.641037
0.376864,-0.015327,0.641384
0.376389,-0.015345,0.641732
0.375922,-0.015347,0.642081
0.375462,-0.015331,0.642431
0.375010,-0.015300,0.642781
0.374564,-0.015253,0.643132
0.374126,-0.015190,0.643483
0.373695,-0.015112,0.643834
0.373270,-0.015019,0.644184
0.372852,-0.014912,0.644532
0.372441,-0.014790,0.644880
0.372036,-0.014655,0.645226
0.371637,-0.014507,0.645571
0.371244,-0.014345,0.645913
0.370858,-0.014171,0.646253
0.370477,-0.013985,0.646591
0.370103,-0.013787,0.646926
0.369734,-0.013578,0.647258
0.369371,-0.013358,0.647587
0.369013,-0.013127,0.647914
0.368661,-0.012888,0.648237
0.368315,-0.012639,0.648556
0.367975,-0.012383,0.648873
0.367640,-0.012118,0.649185
0.367310,-0.011846,0.649495
0.366987,-0.011568,0.649800
0.366669,-0.011283,0.650101
0.366357,-0.010991,0.650399
0.366051,-0.010695,0.650692
0.365750,-0.010393,0.650981
0.365455,-0.010087,0.651265
0.365167,-0.009776,0.651545
0.364884,-0.009461,0.651821
0.364607,-0.009142,0.652092
0.364336,-0.008820,0.652358
0.364071,-0.008495,0.652620
0.363812,-0.008167,0.652876
0.363558,-0.007838,0.653128
0.363311,-0.007506,0.653374
0.363069,-0.007174,0.653616
0.362833,-0.006840,0.653852
0.362603,-0.006505,0.654083
0.362378,-0.006170,0.654310
0.362159,-0.005835,0.654530
0.361946,-0.005500,0.654746
0.361739,-0.005165,0.654956
0.361537,-0.004831,0.655161
0.361341,-0.004497,0.655360
0.361151,-0.004165,0.655554
0.360966,-0.003833,0.655742
0.360787,-0.003504,0.655924
0.360614,-0.003176,0.656101
0.360447,-0.002850,0.656273
0.360285,-0.002526,0.656438
0.360129,-0.002204,0.656599
0.359978,-0.001886,0.656753
0.359833,-0.001570,0.656902
0.359693,-0.001257,0.657045
0.359558,-0.000947,0.657182
0.359429,-0.000640,0.657314
0.359305,-0.000337,0.657440
0.359187,-0.000038,0.657561
0.359073,0.000257,0.657676
0.358965,0.000548,0.657785
0.358862,0.000834,0.657889
0.358764,0.001117,0.657987
0.358672,0.001394,0.658080
0.358584,0.001667,0.658167
0.358500,0.001934,0.658249
0.358422,0.002196,0.658326
0.358347,0.002452,0.658398
0.358278,0.002703,0.658464
0.358212,0.002948,0.658525
0.358151,0.003187,0.658581
0.358094,0.003420,0.658632
0.358041,0.003647,0.658679
0.357992,0.003867,0.658720
0.357947,0.004082,0.658757
0.357906,0.004289,0.658789
0.357869,0.004491,0.658816
0.357836,0.004685,0.658839
0.357806,0.004873,0.658859
0.357780,0.005053,0.658874
0.357757,0.005226,0.658886
0.357738,0.005392,0.658894
0.357723,0.005550,0.658899
0.357712,0.005701,0.658901
0.357705,0.005844,0.658901
0.357702,0.005980,0.658897
0.357703,0.006108,0.658891
0.357707,0.006229,0.658882
0.357716,0.006343,0.658871
0.357728,0.006449,0.658858
0.357745,0.006547,0.658842
0.357765,0.006638,0.658824
0.357788,0.006721,0.658804
0.357816,0.006796,0.658782
0.357847,0.006863,0.658758
0.357881,0.006922,0.658732
0.357920,0.006973,0.658704
0.357961,0.007017,0.658675
0.358006,0.007053,0.658643
0.358053,0.007081,0.658609
0.358104,0.007101,0.658573
0.358158,0.007114,0.658536
0.358214,0.007119,0.658496
0.358273,0.007116,0.658454
0.358334,0.007106,0.658410
0.358397,0.007089,0.658364
0.358463,0.007065,0.658316
0.358530,0.007033,0.658266
0.358599,0.006994,0.658214
0.358670,0.006949,0.658159
0.358742,0.006896,0.658102
0.358815,0.006837,0.658043
0.358889,0.006770,0.657982
0.358965,0.006698,0.657918
0.359041,0.006619,0.657852
0.359117,0.006533,0.657784
0.359194,0.006442,0.657713
0.359271,0.006344,0.657640
0.359349,0.006240,0.657565
0.359426,0.006130,0.657487
0.359503,0.006015,0.657406
0.359580,0.005894,0.657324
0.359656,0.005768,0.657239
0.359732,0.005636,0.657152
0.359807,0.005500,0.657062
