X,Y,Z
0.412640,0.112038,0.659663
0.412642,0.114000,0.658548
0.412613,0.115933,0.657436
0.412567,0.117832,0.656332
0.412514,0.119692,0.655241
0.412462,0.121512,0.654165
0.412410,0.123294,0.653109
0.412355,0.125046,0.652075
0.412293,0.126774,0.651065
0.412223,0.128479,0.650082
0.412154,0.130159,0.649130
0.412098,0.131809,0.648211
0.412073,0.133423,0.647335
0.412093,0.135000,0.646505
0.412166,0.136538,0.645727
0.412292,0.138036,0.645001
0.412467,0.139475,0.644322
0.412680,0.140839,0.643682
0.412914,0.142122,0.643075
0.413160,0.143318,0.642496
0.413412,0.144423,0.641943
0.413669,0.145433,0.641412
0.413928,0.146346,0.640905
0.414190,0.147165,0.640420
0.414455,0.147890,0.639957
0.414717,0.148527,0.639518
0.414973,0.149079,0.639099
0.415219,0.149548,0.638703
0.415458,0.149935,0.638327
0.415692,0.150237,0.637973
0.415924,0.150452,0.637640
0.416159,0.150577,0.637330
0.416403,0.150610,0.637042
0.416660,0.150546,0.636778
0.416937,0.150383,0.636538
0.417236,0.150121,0.636323
0.417564,0.149758,0.636134
0.417923,0.149293,0.635971
0.418317,0.148729,0.635836
0.418747,0.148066,0.635727
0.419215,0.147307,0.635647
0.419723,0.146456,0.635595
0.420271,0.145517,0.635571
0.420857,0.144495,0.635576
0.421483,0.143394,0.635610
0.422146,0.142220,0.635672
0.422845,0.140980,0.635763
0.423576,0.139683,0.635882
0.424336,0.138343,0.636031
0.425123,0.136971,0.636210
0.425932,0.135575,0.636420
0.426762,0.134163,0.636660
0.427607,0.132733,0.636928
0.428460,0.131283,0.637218
0.429311,0.129810,0.637524
0.430142,0.128312,0.637836
0.430938,0.126789,0.638150
0.431692,0.125244,0.638458
0.432395,0.123677,0.638757
0.433044,0.122085,0.639041
0.433634,0.120470,0.639309
0.434163,0.118833,0.639555
0.434633,0.117176,0.639781
0.435048,0.115506,0.639988
0.435405,0.113831,0.640177
0.435709,0.112161,0.640352
0.435967,0.110500,0.640516
0.436187,0.108853,0.640673
0.436375,0.107228,0.640827
0.436535,0.105634,0.640983
0.436669,0.104077,0.641144
0.436775,0.102574,0.641314
0.436850,0.101145,0.641500
0.436899,0.099807,0.641710
0.436942,0.098575,0.641956
0.436994,0.097454,0.642249
0.437063,0.096441,0.642593
0.437156,0.095535,0.642994
0.437276,0.094728,0.643452
0.437425,0.094012,0.643971
0.437607,0.093381,0.644551
0.437827,0.092824,0.645194
0.438089,0.092336,0.645901
0.438390,0.091910,0.646671
0.438722,0.091545,0.647501
0.439067,0.091235,0.648386
0.439412,0.090978,0.649318
0.439746,0.090773,0.650292
0.440061,0.090620,0.651306
0.440349,0.090521,0.652356
0.440603,0.090478,0.653437
0.440818,0.090493,0.654549
0.440989,0.090568,0.655688
0.441112,0.090706,0.656851
0.441183,0.090907,0.658037
0.441199,0.091172,0.659241
0.441159,0.091498,0.660461
0.441061,0.091885,0.661693
0.440902,0.092328,0.662931
0.440680,0.092823,0.664171
0.440392,0.093366,0.665408
0.440039,0.093956,0.666638
0.439617,0.094589,0.667857
0.439129,0.095263,0.669062
0.438572,0.095975,0.670249
0.437945,0.096723,0.671414
0.437247,0.097501,0.672552
0.436473,0.098303,0.673655
0.435621,0.099125,0.674719
0.434690,0.099962,0.675738
0.433679,0.100810,0.676708
0.432590,0.101666,0.677627
0.431422,0.102527,0.678492
0.430177,0.103390,0.679301
0.428857,0.104255,0.680056
0.427459,0.105124,0.680757
0.425975,0.105997,0.681399
0.424403,0.106872,0.681983
0.422745,0.107745,0.682508
0.421006,0.108610,0.682975
0.419206,0.109463,0.683392
0.417363,0.110297,0.683766
0.415494,0.111108,0.684106
0.413611,0.111892,0.684417
0.411724,0.112648,0.684704
0.409839,0.113376,0.684972
0.407961,0.114082,0.685228
0.406095,0.114769,0.685478
0.404247,0.115443,0.685726
0.402422,0.116103,0.685977
0.400632,0.116754,0.686239
0.398889,0.117391,0.686515
0.397198,0.118010,0.686809
0.395561,0.118612,0.687121
0.393979,0.119193,0.687454
0.392454,0.119752,0.687808
0.390987,0.120288,0.688184
0.389581,0.120802,0.688586
0.388237,0.121297,0.689014
0.386956,0.121773,0.689473
0.385740,0.122228,0.689960
0.384587,0.122656,0.690474
0.383498,0.123051,0.691013
0.382467,0.123405,0.691571
0.381490,0.123710,0.692145
0.380574,0.123961,0.692735
0.379726,0.124150,0.693341
0.378951,0.124276,0.693967
0.378252,0.124336,0.694612
0.377631,0.124332,0.695278
0.377087,0.124265,0.695965
0.376620,0.124137,0.696675
0.376228,0.123952,0.697406
0.375910,0.123711,0.698160
0.375662,0.123418,0.698936
0.375483,0.123075,0.699732
0.375369,0.122685,0.700548
0.375318,0.122250,0.701381
0.375326,0.121772,0.702231
0.375390,0.121252,0.703096
0.375506,0.120692,0.703972
0.375670,0.120092,0.704859
0.375878,0.119454,0.705752
0.376128,0.118778,0.706650
0.376417,0.118066,0.707549
0.376741,0.117317,0.708449
0.377101,0.116533,0.709346
0.377499,0.115712,0.710241
0.377932,0.114853,0.711129
0.378395,0.113953,0.712006
0.378886,0.113010,0.712866
0.379398,0.112025,0.713705
0.379935,0.110994,0.714521
0.380497,0.109920,0.715312
0.381082,0.108802,0.716077
0.381687,0.107644,0.716814
0.382305,0.106453,0.717519
0.382921,0.105233,0.718185
0.383533,0.103986,0.718812
0.384133,0.102719,0.719396
0.384716,0.101439,0.719937
0.385275,0.100155,0.720434
0.385807,0.098876,0.720887
0.386307,0.097609,0.721297
0.386773,0.096357,0.721663
0.387206,0.095121,0.721984
0.387605,0.093904,0.722261
0.387972,0.092704,0.722494
0.388299,0.091512,0.722672
0.388579,0.090318,0.722784
0.388809,0.089115,0.722823
0.388987,0.087903,0.722785
0.389115,0.086682,0.722669
0.389197,0.085459,0.722479
0.389240,0.084242,0.722221
0.389248,0.083037,0.721899
0.389235,0.081853,0.721528
0.389212,0.080701,0.721115
0.389183,0.079589,0.720671
0.389150,0.078527,0.720201
0.389118,0.077530,0.719719
0.389087,0.076607,0.719231
0.389059,0.075764,0.718744
0.389034,0.075002,0.718263
0.389016,0.074324,0.717792
0.389005,0.073728,0.717335
0.389005,0.073212,0.716894
0.389017,0.072773,0.716469
0.389042,0.072405,0.716060
0.389081,0.072104,0.715668
0.389136,0.071867,0.715292
0.389206,0.071690,0.714931
0.389293,0.071570,0.714586
0.389396,0.071505,0.714256
0.389513,0.071492,0.713941
0.389645,0.071530,0.713639
0.389787,0.071616,0.713348
0.389937,0.071748,0.713067
0.390092,0.071925,0.712793
0.390249,0.072146,0.712525
0.390405,0.072411,0.712262
0.390555,0.072721,0.712002
0.390697,0.073078,0.711746
0.390827,0.073481,0.711491
0.390942,0.073929,0.711236
0.391041,0.074421,0.710978
0.391121,0.074955,0.710716
0.391180,0.075529,0.710447
0.391217,0.076140,0.710169
0.391232,0.076786,0.709880
0.391224,0.077466,0.709580
0.391193,0.078177,0.709266
0.391138,0.078917,0.708938
0.391058,0.079684,0.708594
0.390953,0.080475,0.708232
0.390823,0.081290,0.707853
0.390666,0.082131,0.707457
0.390482,0.082999,0.707046
0.390270,0.083895,0.706620
0.390031,0.084816,0.706180
0.389763,0.085760,0.705725
0.389468,0.086727,0.705254
0.389150,0.087712,0.704770
0.388812,0.088715,0.704274
0.388458,0.089732,0.703767
0.388089,0.090764,0.703252
0.387707,0.091809,0.702729
0.387313,0.092867,0.702200
0.386910,0.093935,0.701665
0.386498,0.095010,0.701124
0.386080,0.096089,0.700579
0.385658,0.097174,0.700033
0.385236,0.098267,0.699488
0.384821,0.099368,0.698951
0.384433,0.100478,0.698433
0.384077,0.101588,0.697933
0.383756,0.102692,0.697450
0.383471,0.103784,0.696983
0.383221,0.104864,0.696534
0.383007,0.105932,0.696102
0.382830,0.106986,0.695688
0.382690,0.108026,0.695294
0.382591,0.109048,0.694918
0.382532,0.110055,0.694564
0.382511,0.111052,0.694232
0.382525,0.112040,0.693923
0.382572,0.113020,0.693637
0.382652,0.113991,0.693371
0.382764,0.114951,0.693127
0.382906,0.115896,0.692901
0.383078,0.116824,0.692693
0.383271,0.117730,0.692496
0.383479,0.118608,0.692306
0.383700,0.119454,0.692121
0.383932,0.120262,0.691936
