X,Y,Z
0.546923,0.046690,0.712820
0.546770,0.046680,0.713146
0.546616,0.046670,0.713477
0.546461,0.046659,0.713813
0.546304,0.046649,0.714153
0.546147,0.046638,0.714498
0.545989,0.046626,0.714847
0.545830,0.046615,0.715200
0.545670,0.046603,0.715557
0.545509,0.046591,0.715919
0.545348,0.046578,0.716283
0.545186,0.046565,0.716652
0.545023,0.046552,0.717024
0.544860,0.046539,0.717399
0.544696,0.046525,0.717778
0.544531,0.046511,0.718159
0.544366,0.046496,0.718544
0.544201,0.046482,0.718931
0.544035,0.046466,0.719321
0.543869,0.046451,0.719713
0.543702,0.046435,0.720108
0.543536,0.046419,0.720505
0.543369,0.046403,0.720904
0.543202,0.046386,0.721305
0.543035,0.046370,0.721708
0.542868,0.046352,0.722113
0.542701,0.046335,0.722519
0.542534,0.046317,0.722927
0.542367,0.046299,0.723335
0.542200,0.046280,0.723745
0.542033,0.046261,0.724156
0.541867,0.046242,0.724568
0.541700,0.046223,0.724981
0.541534,0.046203,0.725394
0.541369,0.046183,0.725808
0.541204,0.046163,0.726222
0.541039,0.046142,0.726636
0.540875,0.046122,0.727050
0.540711,0.046100,0.727465
0.540548,0.046079,0.727879
0.540386,0.046057,0.728293
0.540224,0.046035,0.728706
0.540063,0.046013,0.729119
0.539903,0.045991,0.729531
0.539743,0.045968,0.729943
0.539585,0.045945,0.730353
0.539427,0.045921,0.730763
0.539270,0.045898,0.731171
0.539114,0.045874,0.731578
0.538959,0.045850,0.731984
0.538806,0.045825,0.732388
0.538653,0.045801,0.732790
0.538501,0.045776,0.733191
0.538351,0.045751,0.733590
0.538202,0.045726,0.733987
0.538054,0.045700,0.734382
0.537908,0.045674,0.734775
0.537763,0.045648,0.735166
0.537619,0.045622,0.735554
0.537476,0.045596,0.735940
0.537335,0.045569,0.736323
0.537196,0.045543,0.736703
0.537058,0.045516,0.737081
0.536922,0.045489,0.737456
0.536787,0.045461,0.737827
0.536654,0.045434,0.738196
0.536522,0.045406,0.738562
0.536392,0.045379,0.738924
0.536264,0.045351,0.739283
0.536138,0.045323,0.739639
0.536014,0.045295,0.739991
0.535891,0.045266,0.740339
0.535770,0.045238,0.740684
0.535651,0.045210,0.741025
0.535534,0.045181,0.741362
0.535419,0.045152,0.741695
0.535306,0.045123,0.742024
0.535195,0.045095,0.742349
0.535086,0.045066,0.742670
0.534979,0.045037,0.742987
0.534875,0.045007,0.743299
0.534772,0.044978,0.743607
0.534671,0.044949,0.743911
0.534573,0.044920,0.744210
0.534477,0.044891,0.744505
0.534382,0.044861,0.744795
0.534291,0.044832,0.745080
0.534201,0.044803,0.745361
0.534114,0.044774,0.745636
0.534029,0.044744,0.745907
0.533946,0.044715,0.746173
0.533865,0.044686,0.746435
0.533787,0.044657,0.746691
0.533711,0.044627,0.746942
0.533638,0.044598,0.747188
0.533567,0.044569,0.747429
0.533498,0.044540,0.747664
0.533432,0.044511,0.747895
0.533368,0.044483,0.748120
0.533307,0.044454,0.748340
0.533248,0.044425,0.748555
0.533191,0.044397,0.748764
0.533137,0.044368,0.748969
0.533085,0.044340,0.749167
0.533036,0.044312,0.749360
0.532989,0.044284,0.749548
0.532945,0.044256,0.749730
0.532903,0.044228,0.749907
0.532863,0.044201,0.750079
0.532826,0.044173,0.750244
0.532792,0.044146,0.750405
0.532760,0.044119,0.750559
0.532730,0.044092,0.750708
0.532703,0.044066,0.750852
0.532678,0.044039,0.750990
0.532656,0.044013,0.751122
0.532636,0.043987,0.751249
0.532619,0.043961,0.751370
0.532604,0.043936,0.751486
0.532592,0.043911,0.751596
0.532582,0.043886,0.751700
0.532574,0.043861,0.751799
0.532569,0.043837,0.751892
0.532566,0.043812,0.751980
0.532566,0.043788,0.752062
0.532568,0.043765,0.752138
0.532572,0.043742,0.752209
0.532578,0.043718,0.752275
0.532587,0.043696,0.752334
0.532598,0.043673,0.752389
0.532612,0.043651,0.752438
0.532628,0.043630,0.752481
0.532646,0.043608,0.752519
0.532666,0.043587,0.752552
0.532688,0.043566,0.752579
0.532713,0.043546,0.752601
0.532740,0.043526,0.752617
0.532769,0.043506,0.752628
0.532800,0.043487,0.752634
0.532833,0.043468,0.752635
0.532869,0.043449,0.752630
0.532906,0.043431,0.752620
0.532945,0.043413,0.752605
0.532987,0.043396,0.752585
0.533030,0.043379,0.752560
0.533076,0.043362,0.752530
0.533123,0.043346,0.752495
0.533172,0.043331,0.752455
0.533223,0.043315,0.752410
0.533276,0.043300,0.752360
0.533331,0.043286,0.752305
0.533387,0.043272,0.752246
0.533446,0.043258,0.752181
0.533506,0.043245,0.752113
0.533567,0.043232,0.752039
0.533631,0.043219,0.751961
0.533696,0.043208,0.751878
0.533762,0.043196,0.751792
0.533830,0.043185,0.751700
0.533900,0.043174,0.751604
0.533971,0.043164,0.751504
0.534044,0.043155,0.751400
0.534118,0.043145,0.751292
0.534193,0.043137,0.751179
0.534270,0.043128,0.751063
0.534348,0.043120,0.750942
0.534427,0.043113,0.750817
0.534508,0.043106,0.750689
0.534590,0.043100,0.750557
0.534673,0.043094,0.750421
0.534757,0.043088,0.750281
0.534842,0.043083,0.750138
0.534929,0.043078,0.749991
0.535016,0.043074,0.749841
0.535105,0.043070,0.749688
0.535194,0.043067,0.749531
0.535284,0.043064,0.749371
0.535376,0.043062,0.749207
0.535468,0.043060,0.749041
0.535560,0.043059,0.748871
0.535654,0.043058,0.748699
0.535748,0.043058,0.748523
0.535843,0.043058,0.748345
0.535939,0.043058,0.748164
0.536035,0.043059,0.747980
0.536132,0.043061,0.747794
0.536230,0.043063,0.747605
0.536328,0.043065,0.747414
0.536426,0.043068,0.747220
0.536525,0.043071,0.747024
0.536625,0.043075,0.746826
0.536724,0.043079,0.746626
0.536824,0.043083,0.746423
0.536925,0.043088,0.746219
0.537025,0.043094,0.746013
0.537126,0.043100,0.745804
0.537227,0.043106,0.745594
0.537328,0.043113,0.745383
0.537430,0.043120,0.745169
0.537531,0.043128,0.744954
0.537633,0.043136,0.744738
0.537734,0.043144,0.744520
0.537836,0.043153,0.744301
0.537937,0.043162,0.744081
0.538038,0.043172,0.743860
0.538140,0.043182,0.743637
0.538241,0.043192,0.743413
0.538341,0.043203,0.743189
0.538442,0.043214,0.742964
0.538543,0.043226,0.742738
0.538643,0.043238,0.742511
0.538743,0.043250,0.742283
0.538842,0.043263,0.742055
0.538941,0.043276,0.741827
0.539040,0.043290,0.741598
0.539138,0.043303,0.741369
0.539236,0.043318,0.741139
0.539334,0.043332,0.740909
0.539430,0.043347,0.740680
0.539527,0.043362,0.740450
0.539623,0.043378,0.740220
0.539718,0.043393,0.739990
0.539812,0.043409,0.739761
0.539906,0.043426,0.739532
0.539999,0.043443,0.739303
0.540092,0.043460,0.739074
0.540184,0.043477,0.738846
0.540275,0.043494,0.738618
0.540365,0.043512,0.738391
0.540455,0.043530,0.738165
0.540543,0.043549,0.737939
0.540631,0.043567,0.737714
0.540718,0.043586,0.737490
0.540805,0.043605,0.737267
0.540890,0.043625,0.737045
0.540974,0.043644,0.736824
0.541058,0.043664,0.736604
0.541140,0.043684,0.736386
0.541221,0.043704,0.736168
0.541302,0.043725,0.735952
0.541381,0.043745,0.735737
0.541460,0.043766,0.735524
0.541537,0.043787,0.735312
0.541614,0.043808,0.735101
0.541689,0.043830,0.734892
0.541763,0.043851,0.734685
0.541836,0.043873,0.734479
0.541908,0.043894,0.734275
0.541979,0.043916,0.734073
0.542048,0.043938,0.733873
0.542117,0.043960,0.733675
0.542184,0.043982,0.733479
0.542250,0.044005,0.733284
0.542315,0.044027,0.733092
0.542379,0.044050,0.732902
0.542442,0.044072,0.732714
0.542503,0.044095,0.732528
0.542563,0.044118,0.732344
0.542622,0.044140,0.732163
0.542679,0.044163,0.731984
0.542736,0.044186,0.731807
0.542791,0.044209,0.731632
0.542844,0.044232,0.731461
0.542897,0.044255,0.731291
0.542948,0.044278,0.731124
0.542998,0.044301,0.730960
0.543047,0.044324,0.730798
0.543094,0.044347,0.730639
0.543140,0.044370,0.730482
0.543184,0.044393,0.730328
0.543228,0.044416,0.730177
0.543270,0.044438,0.730029
0.543311,0.044461,0.729883
0.543350,0.044484,0.729740
0.543388,0.044507,0.729600
0.543425,0.044529,0.729463
0.543460,0.044552,0.729328
0.543494,0.044574,0.729197
0.543527,0.044596,0.729068
0.543559,0.044619,0.728943
0.543589,0.044641,0.728820
0.543617,0.044663,0.728700
0.543645,0.044685,0.728584
0.543671,0.044707,0.728470
0.543696,0.044728,0.728359
0.543719,0.044750,0.728252
0.543742,0.044771,0.728147
0.543763,0.044792,0.728046
0.543782,0.044814,0.727947
0.543800,0.044834,0.727852
0.543817,0.044855,0.727760
0.543833,0.044876,0.727670
0.543848,0.044896,0.727584
0.543861,0.044916,0.727502
0.543873,0.044936,0.727422
0.543883,0.044956,0.727345
0.543892,0.044976,0.727272
0.543900,0.044995,0.727201
0.543907,0.045014,0.727134
0.543913,0.045033,0.727070
0.543917,0.045052,0.727009
0.543920,0.045070,0.726951
0.543922,0.045088,0.726896
0.543923,0.045106,0.726845
0.543922,0.045124,0.726797
0.543921,0.045142,0.726751
0.543918,0.045159,0.726709
0.543914,0.045176,0.726670
0.543908,0.045192,0.726634
0.543902,0.045209,0.726601
0.543894,0.045225,0.726571
0.543886,0.045241,0.726544
0.543876,0.045256,0.726521
0.543865,0.045272,0.726500
0.543853,0.045287,0.726483
0.543840,0.045301,0.726468
0.543826,0.045316,0.726456
0.543811,0.045330,0.726448
0.543794,0.045343,0.726442
0.543777,0.045357,0.726439
0.543758,0.045370,0.726440
0.543739,0.045383,0.726443
0.543719,0.045395,0.726449
0.543697,0.045407,0.726458
0.543675,0.045419,0.726469
0.543651,0.045431,0.726484
0.543627,0.045442,0.726501
0.543602,0.045453,0.726521
0.543576,0.045463,0.726544
0.543549,0.045473,0.726570
0.543521,0.045483,0.726598
0.543492,0.045493,0.726629
0.543462,0.045502,0.726663
0.543431,0.045510,0.726699
0.543400,0.045519,0.726738
0.543368,0.045527,0.726780
0.543335,0.045535,0.726824
0.543301,0.045542,0.726870
0.543266,0.045549,0.726919
0.543231,0.045555,0.726971
0.543195,0.045562,0.727024
0.543158,0.045568,0.727081
0.543120,0.045573,0.727139
0.543082,0.045578,0.727200
0.543043,0.045583,0.727263
0.543003,0.045588,0.727328
0.542963,0.045592,0.727396
0.542922,0.045596,0.727466
0.542880,0.045599,0.727538
0.542838,0.045602,0.727612
0.542796,0.045605,0.727688
0.542752,0.045607,0.727766
0.542708,0.045609,0.727846
0.542664,0.045610,0.727928
0.542619,0.045612,0.728012
0.542573,0.045613,0.728098
0.542527,0.045613,0.728185
0.542481,0.045613,0.728275
0.542434,0.045613,0.728366
0.542387,0.045613,0.728459
0.542339,0.045612,0.728553
0.542291,0.045611,0.728649
0.542242,0.045609,0.728747
0.542193,0.045607,0.728847
0.542144,0.045605,0.728947
0.542094,0.045602,0.729050
0.542045,0.045599,0.729153
0.541994,0.045596,0.729259
0.541944,0.045593,0.729365
0.541893,0.045589,0.729473
0.541842,0.045584,0.729582
0.541790,0.045580,0.729692
0.541739,0.045575,0.729804
0.541687,0.045570,0.729916
0.541635,0.045564,0.730030
0.541583,0.045559,0.730144
0.541531,0.045552,0.730260
0.541478,0.045546,0.730377
0.541426,0.045539,0.730494
0.541373,0.045532,0.730613
0.541320,0.045525,0.730732
0.541267,0.045517,0.730852
0.541214,0.045510,0.730973
0.541162,0.045501,0.731095
0.541109,0.045493,0.731217
0.541056,0.045484,0.731340
0.541003,0.045475,0.731463
0.540950,0.045466,0.731587
0.540897,0.045457,0.731712
0.540844,0.045447,0.731836
0.540791,0.045437,0.731962
0.540738,0.045427,0.732087
0.540686,0.045416,0.732213
0.540633,0.045406,0.732340
0.540581,0.045395,0.732466
0.540528,0.045384,0.732593
0.540476,0.045372,0.732720
0.540424,0.045361,0.732847
0.540373,0.045349,0.732974
0.540321,0.045337,0.733101
0.540270,0.045325,0.733229
0.540219,0.045312,0.733356
0.540168,0.045300,0.733483
0.540117,0.045287,0.733610
0.540067,0.045274,0.733737
0.540017,0.045261,0.733863
0.539967,0.045248,0.733990
0.539918,0.045234,0.734116
0.539869,0.045221,0.734242
0.539820,0.045207,0.734367
0.539771,0.045193,0.734492
0.539723,0.045179,0.734617
0.539676,0.045165,0.734741
0.539629,0.045150,0.734865
